© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;ST;Altmark;;258;4715,2;244,4;120,4;241,1;52;15,3;4,7;8,6;13,1;35,9;22,5;7,5;10,5;23,8;27,9;-7,2;5,3;212,4;0,4;26,8;5;466,9;609,6;15,5;12,5;14,2;49,3;22,4;20,2;19,7;273,9;5,6;29,3;19;46,1
67;ST;Elbe-Havel-Gebiet;;225;4055,7;298,1;146,4;294,3;74;14,2;4,4;8,6;13,2;36,9;22,7;6,9;11,1;33,8;29,8;-0,1;3,3;217,5;0,6;44,8;6,2;454,5;630,9;14,2;12,2;13,6;51,1;22,3;18,2;17,3;276,4;4,3;39,7;21,1;34,8
68;ST;Harz;;97;2003,1;256,7;124,3;253,5;128;13,4;4,1;8,3;12,7;36,6;24,8;6,8;11,5;25,8;28,8;-7,6;1,6;226,2;0,6;41,1;4,8;475,3;558,8;14,7;11,7;11,1;51,9;24,3;20,8;19,6;289,7;3,5;30,7;19,6;46,3
69;ST;Magdeburg;;1;200,9;236,3;113,5;229,7;1176;12,4;3,8;8,3;13,8;36,8;24,9;6,7;11;33,1;47,4;-18,7;0,1;201,1;0,3;25,1;5,9;612,2;490,6;13,8;11,3;9,7;43,4;33,8;19,7;18,8;477,5;0,2;18,4;19,5;62
70;ST;Börde;;117;1987,6;263,4;128,8;259,7;133;13,7;4,1;8,2;12,9;36,7;24,4;7;11,9;26,6;29,6;-7,9;2,1;284,9;0,6;36,4;4,6;484,2;563,1;14,1;12,6;15,2;50,8;20,5;21,1;21;270,2;4;35,3;19,6;41,1
71;ST;Anhalt;;122;2136,3;290,6;140,7;285,8;136;12,9;4,2;8,6;12,8;36,8;24,6;6,4;11,3;25,6;32,5;-11,7;1,5;259,8;0,6;47,3;7,2;490,1;556,8;14,3;9,4;13;50,2;26,5;22,3;20,5;306,7;3,5;30,5;18,8;47,2
72;ST;Bernburg - Bitterfeld - Saalkreis;;133;1546,6;264,1;128,8;260,3;171;13,4;4,3;8,6;12,8;37,2;23,7;6,4;11,4;36,2;33,3;-2,2;1,3;275,3;0,6;50,6;6,2;457,8;594,1;14;11,7;14;53,9;19,3;21,4;20,2;268,9;3,2;35,4;27,7;33,7
73;ST;Halle;;1;135;254,4;121,3;246;1884;12,9;3,8;9,2;14,5;36,3;23,2;7,8;10,6;35,1;57,8;-25,5;0,1;152,5;0,2;27,8;6,4;601,2;430,7;14,9;11;11,7;44,8;30,8;20,5;20,2;407,7;0,6;18,7;18,7;62,1
74;ST;Burgenland;;162;1667,8;274,6;133,2;271,1;165;13;4,1;8,2;12,4;36;26,2;6,6;12,3;24,2;27;-8,5;2,3;180,9;0,4;36,7;3,9;498,7;579,5;14,3;11;15,4;47,4;25,2;22,8;22,5;293,9;4;35;21,7;39,3
75;ST;Mansfelder Land;;156;1998,6;266,1;129,7;263,1;133;13,2;4,1;8,4;12,6;36,4;25,4;6,5;11,8;25;29,6;-9,9;1,7;238,9;0,5;48,1;4,4;468,4;592,2;13,5;12,3;11,9;53,2;21,7;22,1;22,7;273,4;5,2;31,8;19,4;43,6
;ST;Land insgesamt;;1272;20446,7;2648,7;1287,1;2604,6;130;13,4;4,2;8,5;13,1;36,6;24,2;6,9;11,3;28,9;34,2;-9,7;1,9;230;0,5;39,1;5,5;498,3;562,7;14,3;11,6;13;49,8;24,5;20,9;20,2;311,5;3,1;29,6;20,4;46,9
76;BE;Berlin-Mitte;Erläuterungen siehe Vorbemerkungen;1;891,4;321,1;161,7;238,6;3799;14,2;2,9;9,1;19,7;36,1;18;10,7;10,2;53,6;48,7;5,3;0;19,3;0,2;41,3;5,4;582,6;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
77;BE;Berlin-Pankow;Erläuterungen siehe Vorbemerkungen;1;891,4;268,5;131,5;255,2;3799;12,5;3;9,1;21,9;34;19,4;9;9,1;40,9;37,7;3,2;0;19,3;0,2;10,1;7,5;592;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
78;BE;Berlin-Reinickendorf;Erläuterungen siehe Vorbemerkungen;1;891,4;247,2;117,2;226;3799;14,4;3;6,8;13,2;37,9;24,7;8,5;12,4;24,2;31;-10,6;0;19,3;0,5;56,8;3,2;529,6;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
79;BE;Berlin-Spandau - Charlottenburg-Nord;Erläuterungen siehe Vorbemerkungen;1;891,4;256,4;123,2;222,6;3799;14,3;3,1;7,2;14,1;37,6;23,7;8,4;11,5;34,7;39,6;-8;0;19,3;0,3;102,8;7,3;515,1;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
80;BE;Berlin-Steglitz - Zehlendorf;Erläuterungen siehe Vorbemerkungen;1;891,4;288,3;132,1;262,7;3799;13;2,8;6,8;13,7;38,4;25,3;7,9;13,9;34,7;40,1;-11,3;0;19,3;0,2;20,7;1,8;530,4;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
81;BE;Berlin-Charlottenburg - Wilmersdorf;Erläuterungen siehe Vorbemerkungen;1;891,4;284,1;132,5;240,9;3799;10,9;2,1;6,5;16;41,1;23,4;8;12,2;41,9;38,5;-0,9;0;19,3;0,2;14,8;1,2;594,9;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
82;BE;Berlin-Tempelhof - Schöneberg;Erläuterungen siehe Vorbemerkungen;1;891,4;338,1;160,9;288,6;3799;13,1;2,6;7;15,9;39,6;21,7;9;11,2;35,5;33,1;0,3;0;19,3;0,5;51,5;2,4;543,9;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
83;BE;Berlin-Neukölln;Erläuterungen siehe Vorbemerkungen;1;891,4;307,1;150;243,4;3799;15,4;3;8;16,4;37;20,2;11;10,3;30,5;32,3;-1,1;0;19,3;0,4;39,4;1,6;532,7;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
84;BE;Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg-Ost;Erläuterungen siehe Vorbemerkungen;1;891,4;311,9;158,5;250,2;3799;14,8;2,9;9,8;22,6;35,6;14,3;11,9;9,1;49,6;41,8;10,6;0;19,3;0,3;36,8;0,9;581,8;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
85;BE;Berlin-Treptow - Köpenick;Erläuterungen siehe Vorbemerkungen;1;891,4;229,4;111,7;220,7;3799;12,8;3,3;7,6;14,5;35,2;26,6;7;9,6;30,3;31,4;-3,6;0;19,3;0,3;28,5;6,4;535,4;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
86;BE;Berlin-Marzahn - Hellersdorf;Erläuterungen siehe Vorbemerkungen;1;891,4;268;132,1;259,3;3799;16,8;5,7;10,7;12,4;40,6;13,7;6,8;6,5;19,8;39;-18,8;0;19,3;0,1;9,9;5,3;480,1;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
87;BE;Berlin-Lichtenberg - Hohenschönhausen ;Erläuterungen siehe Vorbemerkungen;1;891,4;266,5;133,2;245,1;3799;13,6;4,2;9,9;14,7;38,6;18,9;6,9;7,8;32,5;44,7;-13;0;19,3;0,2;13,6;2,4;523,6;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
;BE;Land insgesamt;;1;891,4;3386,7;1644,6;2953,1;3799;13,8;3,2;8,2;16,4;37,7;20,8;8,8;10,3;36,2;38,2;-3,6;0;19,3;0,3;34,2;3,7;547,5;412,3;11,2;13,1;20,7;35,2;31;17,5;18,2;337,5;0,5;20,9;19,1;59,5
88;NW;Aachen;;1;160,8;243,8;121,7;201,5;1516;13,9;2,6;7,9;17,8;35,9;22;9,8;9,6;53,2;55,9;-2,5;0,8;29,3;0,5;91,7;3,7;511,8;519,2;9,8;4,3;24;35,9;33,1;10,8;10,9;472,2;0,3;24,3;18,4;57
89;NW;Kreis Aachen;;9;546,2;305,6;149,2;272,8;560;17;3,2;7,2;14,3;35;23,3;10,2;10,5;33,7;31;2,3;1,9;29,8;0,4;76,5;4;429,8;593,1;9,8;6;23,9;41,3;26,1;9,9;10;239,7;0,6;42,1;21,9;35,4
90;NW;Heinsberg;;10;628;248,3;122,3;224,8;395;18,4;3,6;7,6;14;34,8;21,7;9,9;9,3;35,3;26,6;9,4;4,6;34,1;0,5;43,9;6,9;398;625,2;12;5,2;23,9;41,1;26,3;9,4;9,1;207,6;1,4;38,9;21,8;37,9
91;NW;Düren;;15;941,5;266,5;132,3;240,6;283;17,5;3,3;7,5;14,8;35,1;21,9;9,8;9,9;53,3;42,9;10,3;4,1;46,9;0,5;69,5;5,7;408,5;629,1;11,1;4,3;25,4;45,3;23,7;8,6;9,1;279;0,9;40,5;18,3;40,3
92;NW;Erftkreis I;;7;525;323,6;159,6;286,1;616;16;3,2;7,4;14,8;37;21,7;9,7;9,1;44,4;38,7;6,3;1,4;53,3;0,3;54,8;5,4;412,9;619,7;10,2;4,6;22,1;44,9;26,7;7,3;7,8;262,1;1,1;32,8;29,7;36,4
93;NW;Euskirchen - Erftkreis II;;14;1428,6;316,7;155,3;291;222;17,5;3,4;7,3;14;35,4;22,5;10,1;10,5;37,9;29,7;7,9;7,8;33,3;0,5;53;4,5;390,7;682,2;11;4,8;25;40,5;27,8;6,9;7,8;251,2;1;40,9;21,8;36,4
94;NW;Köln I;Erläuterungen siehe Vorbemerkungen;1;128,3;267,5;131,6;211;2084;14,2;2,5;7,5;17,8;35,7;22,3;10,3;10;48,1;48,4;-0,1;0,2;49,8;0,3;70,3;6,1;519,6;545,9;9,4;6,1;22,8;37,6;30,7;11,5;11,5;484,8;0,3;21,5;24,6;53,7
95;NW;Köln II;Erläuterungen siehe Vorbemerkungen;1;101,7;278;132,5;231,8;2734;14,2;2,5;7,5;17,8;35,7;22,3;10,3;10;48,1;48,4;-0,1;0,2;49,8;0,3;70,3;6,1;519,6;545,9;9,4;6,1;22,8;37,6;30,7;11,5;11,5;484,8;0,3;21,5;24,6;53,7
96;NW;Köln III;Erläuterungen siehe Vorbemerkungen;1;123;277,6;134,7;218,8;2258;14,2;2,5;7,5;17,8;35,7;22,3;10,3;10;48,1;48,4;-0,1;0,2;49,8;0,3;70,3;6,1;519,6;545,9;9,4;6,1;22,8;37,6;30,7;11,5;11,5;484,8;0,3;21,5;24,6;53,7
97;NW;Bonn;;1;141,2;301;143,4;248,9;2132;14,5;2,7;7,6;16,7;35,9;22,6;10,6;9,9;70,5;83,1;-11,9;0,2;21,3;0,3;38,8;5,8;505,3;571,4;12,2;4,6;16,5;32,2;43,5;6,9;7,7;489,6;0,2;16;15,6;68,2
98;NW;Rhein-Sieg-Kreis I;Erläuterungen siehe Vorbemerkungen;10;660,7;300,8;147,8;270,8;455;17,5;3,4;7,5;14,1;36,4;21,2;10;8,9;49,3;39,5;10,9;2,8;26,1;0,4;50,1;6,2;410,5;627,8;10,1;4,9;22,7;40;29,6;6,8;7,3;253,6;1,2;38,7;21,6;38,5
99;NW;Rhein-Sieg-Kreis II;Erläuterungen siehe Vorbemerkungen;9;492,7;271,8;133;250,3;552;17,5;3,4;7,5;14,1;36,4;21,2;10;8,9;49,3;39,5;10,9;2,8;26,1;0,4;50,1;6,2;410,5;627,8;10,1;4,9;22,7;40;29,6;6,8;7,3;194,8;1,7;28,9;23,3;46,1
100;NW;Oberbergischer Kreis;;13;918,1;286,4;139,3;262;312;18,4;3,7;7,9;14;33,5;22,6;10,5;10,5;32,8;28,8;4;4,4;23,8;0,9;115;5,7;397,8;657,2;12,2;6,1;25,5;45,8;21;8,8;8,7;310,6;0,6;49,6;15,7;34,1
101;NW;Rheinisch-Bergischer Kreis;;8;437,6;275,7;133,8;253;630;16,6;3,1;6,7;13,7;36,3;23,6;10,2;9,9;46;41,1;5,3;2;22,1;0,5;55,5;5,4;438,4;667,5;9,8;3,9;19,8;42,4;31,6;7,6;8;244,3;1;35,2;24;39,7
102;NW;Leverkusen - Köln IV;Erläuterungen siehe Vorbemerkungen;1;131,1;300,3;145,9;253,3;2291;15;3;7,1;14,6;34,8;25,4;9,3;10,6;41,8;43,2;-2,7;0,4;22,4;0,3;220,4;0,6;465,3;582,2;11,9;3,5;20,7;39,6;34,1;9,5;9,9;416,2;0,2;55,8;16,1;27,9
103;NW;Wuppertal I;Erläuterungen siehe Vorbemerkungen;1;130,8;323,8;154,6;268,3;2475;15,1;3;7,2;14,8;35;24,9;9,3;12;31,7;37,7;-8,7;0,4;17,9;0,7;100,5;2;509,1;544,3;9,9;7,9;24,7;34,1;29,7;10;10,4;354;0,4;35,8;19,8;44
104;NW;Solingen - Remscheid - Wuppertal II;Erläuterungen siehe Vorbemerkungen;2;201,6;330,9;159,3;282,7;1641;16,2;3;7,2;14,2;34,7;24,8;9,7;11,7;36,4;31,5;2,9;0,5;19,2;1,2;125,1;2,8;474,1;599,4;10,6;6,3;25,1;40,5;25,3;8,6;8,9;343,2;0,4;50,3;16,8;32,5
105;NW;Mettmann I;Erläuterungen siehe Vorbemerkungen;6;183,8;274,6;133,2;243,3;1495;15,6;3,1;6,8;13,9;36,7;23,8;8,9;10,3;39,7;36,6;1,7;0,9;31,4;0,9;103,6;4,6;458,9;623,5;10,5;5,8;19,1;45,4;27,4;6,9;7,2;320,2;0,7;31,8;35,6;31,9
106;NW;Mettmann II;Erläuterungen siehe Vorbemerkungen;4;223,3;232;111,9;203,6;1039;15,6;3,1;6,8;13,9;36,7;23,8;8,9;10,3;39,7;36,6;1,7;0,9;31,4;0,9;103,6;4,6;458,9;623,5;10,5;5,8;19,1;45,4;27,4;6,9;7,2;365,9;0,6;47;23,5;28,9
107;NW;Düsseldorf I;Erläuterungen siehe Vorbemerkungen;1;129,6;294,3;138,2;243,3;2271;12,9;2,4;6,7;17,1;36,2;24,8;9,1;11,7;55;51,7;0,7;0,3;22;0,4;81,9;4,2;554,7;576,1;8,9;7,7;19,3;36,3;33,3;10,1;10,4;620,7;0,2;20,5;25,1;54,2
108;NW;Düsseldorf II;Erläuterungen siehe Vorbemerkungen;1;87,4;274,6;130,4;226,3;3141;12,9;2,4;6,7;17,1;36,2;24,8;9,1;11,7;55;51,7;0,7;0,3;22;0,4;81,9;4,2;554,7;576,1;8,9;7,7;19,3;36,3;33,3;10,1;10,4;620,7;0,2;20,5;25,1;54,2
109;NW;Neuss I;;4;347,5;289,8;142,2;253,6;834;16,3;3,1;7,1;14,4;36,7;22,4;9,7;9,1;37,6;36,3;2;1,8;37,2;0,4;76,3;5,2;439,9;639,2;10,2;4,5;19,9;43;29,9;7,1;7,4;354,6;0,7;39,4;27,6;32,3
110;NW;Mönchengladbach;;1;170,4;263,7;126,7;234,7;1547;16;3;7,3;14,8;35,2;23,7;9,6;11,6;34,9;36,6;-3,7;0,8;29,8;0,5;75,3;4,7;464,4;575,9;11;6,3;29,7;35,1;26,9;10,8;11,7;330,3;0,7;34,9;23,9;40,4
111;NW;Krefeld I - Neuss II;Erläuterungen siehe Vorbemerkungen;5;302,4;279,3;135,7;245,9;924;15,3;3;6,8;15;35,6;24,2;8,9;10,2;32,9;38,8;-7,2;0,5;28,4;0,6;117,4;3;490;536,3;10,6;5,8;22,6;40,3;29,4;11,2;11,5;292,8;0,8;37,6;23,2;38,4
112;NW;Viersen;;9;563,3;299,2;146,2;275;531;17,5;3,2;6,8;14,2;35,9;22,4;9,3;10,2;38,8;30,5;7,4;3,5;27,3;0,6;73,7;6,6;427,3;649,8;10,5;5,8;23;40,8;27,5;8;8,4;283,2;1,3;40,1;23,8;34,8
113;NW;Kleve;;16;1232;297,6;146,9;274,3;242;18,3;3,5;7,3;14,5;34,7;21,8;9,9;10,6;33,5;24,7;8,1;8,8;28,3;0,5;46,3;6,2;394;630,2;10,6;7,5;27,9;44,1;19,4;8,7;8,5;255,2;3;36,2;22,3;38,5
114;NW;Wesel I;Erläuterungen siehe Vorbemerkungen;10;883,5;267,5;130,9;247,9;303;16,7;3,3;7,1;13,9;36,1;22,8;8,7;9,8;33,5;29,2;3,2;3,9;28;0,4;67,8;5,7;406,4;623,2;10,9;5,9;22,4;45;24,6;9,1;9,1;241,5;1,7;45,4;20,6;32,3
115;NW;Krefeld II - Wesel II;Erläuterungen siehe Vorbemerkungen;2;175,3;250,9;121,1;220,7;1431;16,7;3,3;7,1;13,9;36,1;22,8;8,7;9,8;33,5;29,2;3,2;3,9;28;0,4;67,8;5,7;406,4;623,2;10,9;5,9;22,4;45;24,6;9,1;9,1;268,1;1;28,1;26,1;44,8
116;NW;Duisburg I;Erläuterungen siehe Vorbemerkungen;1;123,5;267;129,7;226,3;2162;15,5;2,9;7,4;14,5;34,1;25,6;9,5;11,9;31,2;35,6;-6,8;0,2;36,8;0,3;82,7;2,2;488,8;514,1;9,3;8,8;26,7;39,2;22,8;13,7;14,1;310,2;0,4;36,9;23,8;38,9
117;NW;Duisburg II;Erläuterungen siehe Vorbemerkungen;1;109,3;252,8;123,1;203,6;2312;15,5;2,9;7,4;14,5;34,1;25,6;9,5;11,9;31,2;35,6;-6,8;0,2;36,8;0,3;82,7;2,2;488,8;514,1;9,3;8,8;26,7;39,2;22,8;13,7;14,1;310,2;0,4;36,9;23,8;38,9
118;NW;Oberhausen - Wesel III;;2;124,7;293;142,2;256,9;2349;15,4;3;7,3;14,1;35,5;24,8;8,8;11,5;36,3;34,1;-0,5;0,1;16,7;0,3;41,2;2,7;462,6;542;10,8;5,8;25,7;40,7;24,6;12,3;12,5;273,8;0,6;34,1;20,5;44,8
119;NW;Mülheim - Essen I;Erläuterungen siehe Vorbemerkungen;2;115,9;263,8;125,9;239,9;2277;14,1;2,6;6,1;13,6;35,8;27,8;8,2;12,3;37,4;36,9;-3,6;0,5;20,3;0,4;67,4;3,4;510,9;598,5;8,5;3,9;17,7;39,1;37,2;9,1;9,4;364,6;0,6;26,9;22,9;49,6
120;NW;Essen II;Erläuterungen siehe Vorbemerkungen;1;67,7;249;121;212,2;3679;14,1;2,8;6,9;14,2;35,3;26,7;8,7;12,9;29,2;31,1;-6,1;0,2;26,3;0,4;44,6;1;520,7;543,4;10;6,4;16,8;41;32;11,8;12,1;364,6;0,6;26,9;22,9;49,6
121;NW;Essen III;Erläuterungen siehe Vorbemerkungen;1;118,1;260,6;122,2;236,6;2207;14,1;2,8;6,9;14,2;35,3;26,7;8,7;12,9;29,2;31,1;-6,1;0,2;26,3;0,4;44,6;1;520,7;543,4;10;6,4;16,8;41;32;11,8;12,1;364,6;0,6;26,9;22,9;49,6
122;NW;Recklinghausen I;Erläuterungen siehe Vorbemerkungen;3;165,1;234,9;113,7;210,3;1423;16,3;3,3;7,4;14;35,2;23,9;9,3;10,8;28,9;28,2;-0,9;1,6;24,7;0,4;61,4;4,4;439,6;570,8;11,3;6,3;21,4;44,2;25,9;13;13,1;241;1;29;21,8;48,3
123;NW;Recklinghausen II;Erläuterungen siehe Vorbemerkungen;5;388,2;266,3;129,8;239;686;16,3;3,3;7,4;14;35,2;23,9;9,3;10,8;28,9;28,2;-0,9;1,6;24,7;0,4;61,4;4,4;439,6;570,8;11,3;6,3;21,4;44,2;25,9;13;13,1;245,3;0,9;39;24;36,1
124;NW;Gelsenkirchen;;1;104,8;282;135,8;241,7;2690;15,6;3;7,4;14,5;33,8;25,7;9,3;13;30,8;34,6;-7,5;0,2;14,5;0,4;61,1;1,6;496,1;486,7;10,5;8,3;24,6;39,8;24,1;16,1;16,9;261,5;0,5;33,8;20,5;45,2
125;NW;Steinfurt I - Borken I;Erläuterungen siehe Vorbemerkungen;12;976,7;266;132,5;245,9;272;19,1;3,6;8;15,3;33,1;20,9;11,1;8,4;28,8;23,6;7,9;9,9;24,9;0,7;85,4;7,9;371,2;632,2;12,4;5,7;20,7;45,6;26,4;6,9;7;286,5;1;39,1;24,5;35,4
126;NW;Bottrop - Recklinghausen III;;3;307,7;280,4;135,9;253,1;912;15,8;3,1;7,2;14,1;35,7;24,1;9,2;11,5;34,7;34,1;-1,7;0,9;26,4;0,5;78,5;5;443,2;595,3;10;5,7;20,7;44,5;27,1;11,8;12,2;234,4;1;41,4;22,4;35,3
127;NW;Borken II;;12;994,7;253;126;237,6;254;20,4;3,8;8,3;15,5;32,4;19,6;12,1;8,2;30,2;24,1;10;11,3;22,2;0,9;103,9;9;358,2;618,4;12,9;5,6;25;47,6;20,4;6,7;7,3;327,7;1,5;50,9;19,9;27,6
128;NW;Coesfeld - Steinfurt II;;14;1258,7;238;116,6;227,1;189;19,8;3,8;8;14,5;34,4;19,5;11;8,7;37,6;28,6;11,4;12,7;26,4;0,6;52,3;7,3;354,9;644;12;3,2;19,2;52,3;23,1;6,1;6,7;244,8;2,3;36,9;22;38,7
129;NW;Steinfurt III;Erläuterungen siehe Vorbemerkungen;14;1090,2;245;120,6;231;225;19,1;3,6;8;15,3;33,1;20,9;11,1;8,4;28,8;23,6;7,9;9,9;24,9;0,7;85,4;7,9;371,2;632,2;12,4;5,7;20,7;45,6;26,4;6,9;7;288,5;1,2;44,6;24,2;29,9
130;NW;Münster;;1;302,8;264,7;123,8;244,5;874;14,4;2,6;9;19,6;33,1;21,3;10,7;8,3;59,7;61,5;0,7;2,1;25,5;0,3;41,1;8,1;497,7;574;11;3,4;17,1;34,6;41,6;7,1;7,8;491,8;0,9;19,1;18,9;61
131;NW;Warendorf;;13;1316,4;278,5;136,9;255,2;212;18,5;3,7;8,3;14,7;33,5;21,3;11;9,1;30,8;26,8;5,9;11,3;28,5;0,8;112,5;8;390;632,8;12,3;5;27,7;43,1;22,9;6,9;7,5;292,6;1,7;50,3;17,7;30,3
132;NW;Gütersloh;;12;931,9;331,3;162,9;300,8;355;18,7;3,5;7,9;15,2;33,7;20,9;11,6;9;35;29,3;8,3;8,6;19;1;151,3;7,1;400,7;675,5;11,3;5,3;26,4;47,2;19,8;7;8,1;402,8;0,9;52,3;19,7;27,1
133;NW;Bielefeld;;2;293;332,7;158,4;289,9;1136;15,2;3;7,9;15,7;32,9;25,3;10,2;11,6;41,3;42,1;-2,2;1;22,3;0,7;93,7;2,7;466,8;570,6;11,1;6,1;24,5;41,5;25,7;11,4;12,4;409,3;0,4;32,8;22,7;44,1
134;NW;Herford - Minden-Lübbecke II;;10;514,7;303,8;145,7;281,1;590;17;3,3;7,3;14;33,4;25,1;10,1;11;33,5;29,5;3;4,3;20,2;1,2;129,8;6,1;427,3;678,6;11,9;5;20,2;45,8;26,8;7,3;8,3;371,7;0,6;46,4;19,8;33,2
135;NW;Minden-Lübbecke I;;10;1087,4;272,2;132,8;257,1;250;17,5;3,5;7,5;14,1;32,9;24,5;10,3;11,3;38,3;34,6;2,6;10,1;20,9;0,8;97,4;6,1;389,5;685,1;11,7;6,9;26,7;41,2;23,6;8,1;8,7;331,9;0,7;44,6;21;33,8
136;NW;Lippe I;;10;759,9;231,9;112,1;217,1;305;17,8;3,5;7,5;13,9;32,8;24,5;10,2;11,2;33,2;31,3;1;4;38,1;0,8;93,2;4,6;422,5;644,2;11,1;6,2;24,6;46,1;21,9;8,7;10,2;285;1,1;50,7;17,4;30,7
137;NW;Höxter - Lippe II;;16;1686,1;288,6;140,4;269,9;171;18,2;3,7;8,2;14;32,5;23,4;10,2;9,9;31,3;28,1;3,5;13,8;30,6;0,7;68,8;6,5;386,8;645;13,7;4;26,6;41,9;26,4;8,4;9,4;286,2;1;38,3;19,4;41,3
138;NW;Paderborn;;10;1245,3;288,1;142;266,9;231;18,9;3,7;8,8;16;33,2;19,3;11,5;8,3;33,7;27,8;9,1;8,9;24,3;0,7;96,1;12,5;407,8;623,2;13,1;6,3;27,3;42,6;21,6;8,7;9,4;342,6;0,9;39,9;19,6;39,7
139;NW;Hagen - Ennepe-Ruhr-Kreis I;;5;323,3;312,5;149,9;271,7;967;15,8;3,1;7,2;13,9;34,1;26;9,4;11,5;29,2;36,9;-9,7;0,5;18,9;0,8;88,4;2,3;498,6;552,5;12,3;6,6;23,1;38,8;27,2;10,8;11;342,5;0,4;42,2;22,1;35,3
140;NW;Ennepe-Ruhr-Kreis II;;5;245,4;244,1;117,3;224;995;15,1;3;6,8;14,1;35,7;25,2;8,8;11,8;37,5;32,4;2,1;1,8;19,4;0,9;104,3;4,2;463,6;620;9,8;4,7;23,7;43,2;26,8;9,2;8,9;278;0,7;44,6;18;36,7
141;NW;Bochum I;Erläuterungen siehe Vorbemerkungen;1;94,8;279,8;134,8;259,9;2951;13,4;2,8;7,2;15,7;35,7;25,2;8,5;11,7;36,2;34;-1;0,2;27,4;0,4;95,1;2,5;480,5;539,8;10,1;5,7;21,5;38,4;30;11,9;11,5;351,3;0,3;35,3;19,6;44,7
