© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
219;BY;München-Nord;Erläuterungen siehe Vorbemerkungen;1;87,4;297,5;143,5;222,7;3403;12,7;2,3;7,5;18;36,9;22,6;10,4;9,8;74,8;70,6;4,7;0,2;28,3;0,3;103,6;4,8;583,1;651,2;9,2;9,7;28,7;34;27,6;5,1;5,7;579,3;0,2;25,6;18;56,2
220;BY;München-Ost;Erläuterungen siehe Vorbemerkungen;1;79,8;306,6;146,6;239,7;3840;12,7;2,3;7,5;18;36,9;22,6;10,4;9,8;74,8;70,6;4,7;0,2;28,3;0,3;103,6;4,8;583,1;651,2;9,2;9,7;28,7;34;27,6;5,1;5,7;579,3;0,2;25,6;18;56,2
221;BY;München-Süd;Erläuterungen siehe Vorbemerkungen;1;52,5;279,9;131,8;221,1;5328;12,7;2,3;7,5;18;36,9;22,6;10,4;9,8;74,8;70,6;4,7;0,2;28,3;0,3;103,6;4,8;583,1;651,2;9,2;9,7;28,7;34;27,6;5,1;5,7;579,3;0,2;25,6;18;56,2
222;BY;München-West/Mitte;Erläuterungen siehe Vorbemerkungen;1;90,8;310,5;149,4;238,3;3421;12,7;2,3;7,5;18;36,9;22,6;10,4;9,8;74,8;70,6;4,7;0,2;28,3;0,3;103,6;4,8;583,1;651,2;9,2;9,7;28,7;34;27,6;5,1;5,7;579,3;0,2;25,6;18;56,2
223;BY;München-Land;;43;1084,3;332,2;164,8;293,8;306;14,9;2,6;7,3;15,4;38,6;21,2;9,7;8,1;86,2;73,5;14,3;2,3;31,6;0,8;97;6,9;444,7;737,9;7,1;5,7;26,1;28,3;39,9;3,7;4;502,5;0,7;28,1;28;43,3
224;BY;Rosenheim;;47;1476,6;292,2;142,8;266,8;198;17,3;3,2;7,4;15,1;35,3;21,7;10,5;9,9;55;44,6;11;13,4;18,1;0,6;65,9;6,6;424,7;701,1;10,9;9,2;36,8;36,5;17,4;4,8;5,2;309,6;0,8;37;21,7;40,6
225;BY;Starnberg;;52;2462,2;328,5;157,4;299,7;133;16,1;3;7,1;14,6;36,1;23,2;9,5;9,7;57,3;46,7;10,5;10,2;22,7;0,6;57,8;6,6;440,4;726,2;9,6;7;32,9;35,8;24,3;4,5;4,8;285,7;1,1;35;19,7;44,3
226;BY;Traunstein;;54;2454,6;271,1;130,2;250,7;110;16,3;3,3;7,4;14,3;33,9;24,8;9,3;10,5;38;31,5;5,2;18,5;17,7;0,6;71,9;5,3;468,9;716,5;11,1;7,1;41,3;35;16,6;5,5;6,4;302,1;0,9;40,5;21,1;37,6
227;BY;Weilheim;;87;2783;316,1;155,1;293;114;17,5;3,1;7,3;14,7;35;22,4;10,4;9,9;55;47,4;7,9;14,7;22,6;0,5;58;7,4;446;723,6;10,4;6,8;37,2;36,5;19,5;4,3;4,6;279;1,1;38,5;17,9;42,5
228;BY;Deggendorf;;51;1845,3;197,7;96,8;190,7;107;17,3;3,6;8;14,9;34,6;21,5;10,4;9,4;35,1;31,1;5;24,2;16,3;0,8;92,6;6,9;422,1;744,9;12,2;8,6;41,7;32;17,7;7,5;8,7;295;0,7;49,5;17,4;32,5
229;BY;Landshut;;60;2480,6;307,8;151,6;287,5;124;17,5;3,4;7,9;15,3;34,8;21,1;10,7;9,3;48,7;40,2;10;19,4;23,4;0,7;86,3;8,1;425,2;735,3;11,4;8,3;38,3;37,3;16,1;5,2;5,8;306,1;1,1;43,5;19,2;36,2
230;BY;Passau;;39;1599,8;235,9;114,6;224,7;147;16,2;3,4;8,6;15,2;34,1;22,5;9,8;10,2;39,7;34,8;4,5;19,2;19,5;0,8;90,2;8,2;430,5;725;12;8,6;39;36,1;16,4;8,8;9,1;323,9;0,5;40,6;19,9;39
231;BY;Rottal-Inn;;46;2158,9;207,7;102,5;197;96;17,7;3,6;7,9;14,5;33,9;22,4;10,5;10,1;32,4;26,4;6,3;31,5;20,6;0,8;166,1;7;399,9;794,7;11,7;10,2;46,8;29,4;13,6;5,2;5,8;347,5;0,8;60,9;14;24,3
232;BY;Straubing;;62;2244,9;221;109;209,3;98;16,8;3,5;7,9;15;34,5;22,3;9,6;10,6;41,4;36,9;3,4;24,5;18,7;0,7;72,8;8,1;433,8;729,5;11,9;8,8;40,6;32,5;18;7,1;8,1;282,5;1,1;43,4;19,5;36
233;BY;Amberg;;47;2649,4;277,1;136,1;265,7;105;18,2;3,6;7,8;14,8;33,9;21,7;10,7;9,3;40;33,5;7,9;20,2;20,6;0,7;90,9;7,2;407,8;715,8;11,6;9,6;42,9;29,6;18;6,8;7,4;306,4;0,6;49,9;18;31,5
234;BY;Regensburg;;42;1476,5;299,4;146,2;279,6;203;15,8;3,1;7,9;16,4;35,8;21;10,2;9,1;56,2;49,3;7,9;9,7;25,6;0,5;119,9;6,7;472,2;705,5;9,8;8,7;38,3;30,9;22,1;6,9;7,4;408,2;0,4;38,8;20,7;40,1
235;BY;Schwandorf;;72;2982,9;273,8;135,6;265,3;92;17,2;3,6;8;14,7;33,9;22,5;10;10,3;25,4;21,9;3,2;24,8;18,5;0,9;94;7,3;411,4;780,7;12,2;8,6;41,3;34,1;16;6,5;7,3;299,4;0,8;51,6;16,9;30,7
236;BY;Weiden;;65;2583,4;224,2;109,4;216,3;87;17,5;3,6;7,8;14,4;33,4;23,3;10;10,7;31,1;31,5;-1,1;18,2;23,5;0,9;99,3;5,5;439,4;729,2;12,1;7,5;39,1;36,8;16,7;7,4;8,3;311,1;0,7;48,5;19,9;30,9
237;BY;Bamberg;;37;1017,2;223,4;108,5;211,1;220;17,6;3,5;8;15,1;34,6;21,2;10,4;9,7;42,6;38,7;4,7;16,5;14,9;0,6;94,7;7,4;424,5;716,3;12,1;8,6;38,1;33,6;19,6;7,4;7,7;370,6;0,7;45,1;20,1;34
238;BY;Bayreuth;;44;1647,5;211,2;103;199,4;128;15,4;3,1;8,9;15,3;34,1;23,2;9,1;10,7;61,3;57,4;2,4;14,6;20,6;0,7;82;5,2;456,2;703,7;11,3;7,7;35,5;36,3;20,5;8;9,4;329,3;0,7;37,1;20,6;41,6
239;BY;Coburg;;36;1290;211,5;102,8;201,2;164;15,9;3,3;7,3;14,2;34,3;24,9;9;11,5;36,1;35,3;-1,7;10,2;24,7;1,6;181,5;4,6;451;688,9;10,8;12;38,3;31,4;18,4;7,9;9,2;406,7;0,5;55,9;14,8;28,8
240;BY;Hof;;45;1556,9;247,5;118,2;231,2;159;14,9;3,1;7;13,4;34;27,7;8,6;13,1;35,2;36,3;-5,6;9,1;32,6;1,2;135,9;3,3;490,9;685;10,7;10,2;36,9;35,7;17,2;10,5;11,8;355,3;0,4;48,8;20;30,7
241;BY;Kulmbach;;52;1718,4;220,4;108,1;212,6;128;16,1;3,4;7,6;14,4;34,5;24,1;9,5;10,8;29,1;26,6;1,3;17,3;21,6;1,2;125,3;6,7;433,8;735,2;9,6;11,1;39,6;34;15,4;7,7;9,4;276,4;0,6;49,3;21,4;28,7
242;BY;Ansbach;;86;3042,9;317,5;155,5;298,3;104;18,2;3,6;7,9;14,2;33,4;22,7;10,4;10;36,6;32,1;4,9;23,6;22,2;0,9;105,1;7;412,3;758,1;12;8,1;41,6;34,2;16,2;5,8;6,4;315,9;0,7;48,5;17,5;33,3
243;BY;Erlangen;;26;641,3;228,9;112,8;206,9;357;16,4;3,3;7,8;15,9;36,3;20,3;10,1;8;65,5;63,9;3,6;5,9;17,3;0,5;182,3;6,1;454,7;659,2;10,7;8,7;31,7;29,3;30,3;6;5,8;463,1;0,3;50,7;12,8;36,1
244;BY;Fürth;;53;1638,4;321,3;156,9;295,1;196;16,7;3,2;7,1;14,6;36,1;22,3;10;10,4;58,7;55,4;2,9;11,7;24;0,7;69;5,6;452,5;682,5;10,6;8,9;41,8;30,5;18,8;6,6;7,1;277,8;1;39;23,5;36,5
245;BY;Nürnberg-Nord;Erläuterungen siehe Vorbemerkungen;1;85,4;267,1;128;212;3127;13,2;2,5;7,6;16,1;35,4;25,2;9,1;11,9;57,4;55,6;-1,1;0,6;11,3;0,6;122,1;3,4;521,9;573;10;13,7;37,9;28,3;20,1;10,1;11;545,8;0,3;30,1;24;45,6
246;BY;Nürnberg-Süd;Erläuterungen siehe Vorbemerkungen;2;141,8;257,5;123,7;220,7;1816;15,7;3;7,5;14,8;35,6;23,4;9,8;9,9;64,9;58,2;6,5;2;15,9;1,2;103,3;7,6;474,1;715,6;16,7;7,9;28,5;41,8;21,8;5;5,5;355,1;0,8;45,5;21,2;32,5
247;BY;Roth;;43;1695,2;291;143;272,9;172;17,1;3,3;7,1;14,4;36;22,1;9,6;10,2;38,6;32,2;5,9;12,4;16,6;0,8;85,9;5,5;414,9;726,5;9,3;9,8;39,2;34,2;16,9;5,2;5,7;256,6;0,8;46,2;20,7;32,4
248;BY;Aschaffenburg;;33;762,1;240,8;118,3;218,7;316;17,1;3,4;7,5;14,8;35,4;21,8;10;8,9;45,2;42,9;3,4;3,5;18,5;0,8;109,1;6,3;427,5;683;10,4;10,1;40,8;32,4;16,7;5,9;6,5;362,1;0,6;43,5;24,1;31,8
249;BY;Bad Kissingen;;89;3115,2;284,9;140,7;276,6;91;17,8;3,9;7,7;14;33,5;23,2;9,5;10,4;30,2;28,4;0,9;19,2;23,9;0,7;89,6;5,9;413,2;732,8;12,4;8,2;45,4;32,3;14;7,6;8,1;292,7;1;46,4;16,5;36
250;BY;Main-Spessart;;72;2037,1;262,6;130,3;241,8;129;18,1;3,6;7,8;14,4;34,2;22;10;8,9;28,4;27,4;2,1;9,7;22,2;0,9;122,8;6,2;409,1;697,5;11,1;8,6;41,3;34,7;15,3;5,6;6;299,8;0,9;59,4;14,7;25
251;BY;Schweinfurt;;61;1559,8;259,5;127,4;242,5;166;17,4;3,5;7,5;14,1;34,1;23,3;9,4;9,6;41,8;40,5;1,2;17,7;20,1;0,6;114,3;5,3;426;693;12,6;8,9;35,6;34,3;20,7;7,4;7,7;354,4;1,1;44,2;20;34,7
252;BY;Würzburg;;53;1055,1;286;137,3;264,5;271;15,1;3,1;9;16;34,7;22,1;9,3;9,4;74,2;65,4;8,7;8,9;24;0,5;61,1;5,5;469,6;643,9;10,3;6,3;33,6;35,7;24,1;5,9;6,1;370,5;0,7;26,1;25,6;47,6
253;BY;Augsburg-Stadt;;2;165,1;281,2;134,8;233,4;1703;14,2;2,7;7,8;16,2;33,9;25,3;10,1;12;60,4;57,5;1;0,4;28,3;0,6;130;3;531,8;548,9;11,8;9,7;37;29;23,8;7;8,2;473,5;0,2;35,2;18,6;46
254;BY;Augsburg-Land;;64;1638,5;315,4;155,4;294,9;192;18,6;3,5;7,5;14,8;35,8;19,9;10,4;8,1;43,9;37;9,2;11,5;24,1;0,7;71,3;6,7;413,9;712,6;9,2;9,8;44,2;33,5;12,5;4,7;5;234,9;1;48,1;23,7;27,3
255;BY;Donau-Ries;;76;2261,7;237,7;118,1;224,5;105;18,7;3,6;8,2;14,8;33,4;21,4;11;10,3;29,1;25,9;3,9;22,6;24;0,9;124,4;7,9;409,7;750,4;12,6;9;37,3;39,4;14,3;4,1;4,8;314,2;1,2;54;18,8;26
256;BY;Neu-Ulm;;70;1683,8;313,6;155,5;281,3;186;17,7;3,6;8;15,1;34,7;21;10,8;9,4;39,5;36,6;4,4;10;22,8;0,9;114,1;6,9;425,1;709,1;12,1;10,2;36,7;37,3;15,8;5,5;6,2;318;0,7;48,4;22,3;28,5
257;BY;Oberallgäu;;48;1914,8;284,9;137,1;258,1;149;17;3,1;7,4;14,5;34,1;23,8;10,6;10,5;46,6;43,4;3,2;15,2;19,3;0,6;86,1;7,1;498,5;708,7;10,7;9,4;38,4;35,7;16,5;5,4;6,1;335,6;0,7;40,8;20;38,5
258;BY;Ostallgäu;;80;2328,4;312,8;151,9;289,9;134;18;3,5;7,7;14,3;33,4;23,1;10,9;10,3;43,5;37,5;6,6;20,1;22,4;0,9;92,6;7,4;445,1;732,5;11,9;8,5;41;35;15,2;5,1;5,7;339;1;46,9;18,2;33,9
;BY;Land insgesamt;;2056;70547,8;12155;5932,9;11031,7;172;16,4;3,2;7,7;15,3;35,1;22,4;10,1;9,8;49,9;44,6;5,6;12,7;21,4;0,7;98;6,2;453,1;700,6;10,7;9;37,9;33,8;19,2;6;6,6;361,7;0,6;39,9;20,1;39,3
259;BW;Stuttgart I;Erläuterungen siehe Vorbemerkungen;1;113,8;280,3;136,4;217,2;2464;13,2;2,5;8,1;18;35,4;22,8;9,5;9,5;67,5;66,7;0,8;0,5;8,2;0,5;150,9;3,6;494,7;576,1;8,8;9,3;27;29;33,8;6,3;6,6;613,9;0,3;31,9;16,1;51,7
260;BW;Stuttgart II;Erläuterungen siehe Vorbemerkungen;1;93,6;302,1;148,5;222,5;3228;13,2;2,5;8,1;18;35,4;22,8;9,5;9,5;67,5;66,7;0,8;0,5;8,2;0,5;150,9;3,6;494,7;576,1;8,8;9,3;27;29;33,8;6,3;6,6;613,9;0,3;31,9;16,1;51,7
261;BW;Böblingen;;26;617,8;362;179,2;301,8;586;17,3;3,2;7,8;15,8;35,8;20;10,9;7,5;49,5;45;7,9;3;21;0,7;193,5;6,5;436,2;694,5;10,8;8,8;30,1;36,8;24,2;5,2;5,1;436,5;0,4;54,3;15,4;29,9
262;BW;Esslingen;Erläuterungen siehe Vorbemerkungen;15;208,7;232,9;114,4;193,3;1116;16,5;3,1;7,5;15,4;35,7;21,8;10,6;8,8;42;37,4;6,3;2,5;16,6;1;137,1;5,6;455,1;689,8;10,2;7,7;31,1;38,4;22,3;4;4,2;375,2;0,5;53,2;17,7;28,6
263;BW;Nürtingen;Erläuterungen siehe Vorbemerkungen;29;432,7;264,9;130,3;229,5;612;16,5;3,1;7,5;15,4;35,7;21,8;10,6;8,8;42;37,4;6,3;2,5;16,6;1;137,1;5,6;455,1;689,8;10,2;7,7;31,1;38,4;22,3;4;4,2;358,9;0,7;45,5;22,6;31,2
264;BW;Göppingen;;38;642,3;256,1;125,7;219,9;399;17,2;3,4;7,7;14,6;34,3;22,8;10,3;9,7;31,2;28,1;3,6;4,8;24,1;1;117,7;4,8;436,4;669,2;10,7;6,8;31,1;41;20,7;4,7;4,7;316;0,6;51,7;17,3;30,5
265;BW;Waiblingen;;18;513,4;306,6;150,4;262,3;597;17,1;3,2;7,4;15,2;35,3;21,8;10,5;8,7;40,7;35,4;7;5,8;11,6;0,9;112;5,4;446,3;676;10,2;9,2;26,7;41,9;21,7;4,6;5;336,5;1;47,5;17,8;33,7
266;BW;Ludwigsburg;Erläuterungen siehe Vorbemerkungen;15;339,3;292,4;144,2;241,1;862;17;3,1;7,5;15,5;35,7;21,1;10,8;8,1;50,9;46;7,6;4,8;13,8;0,9;114,8;5,8;449,5;666,4;10,2;8;28,5;41;22,5;4,5;4,4;374;0,9;42,4;23;33,7
267;BW;Neckar-Zaber;Erläuterungen siehe Vorbemerkungen;38;619,1;290,1;143;251,9;469;17;3,1;7,5;15,5;35,7;21,1;10,8;8,1;50,9;46;7,6;4,8;13,8;0,9;114,8;5,8;449,5;666,4;10,2;8;28,5;41;22,5;4,5;4,4;272,3;1,3;55,6;19,6;23,5
268;BW;Heilbronn;;33;928,3;350;172,8;298,3;377;17,8;3,4;7,8;15,3;34,5;21,2;10,9;9;53,2;47,7;7,4;9,1;15;0,9;122,4;6,9;433,5;706,8;11,2;7,8;34,5;39,6;18,2;5,7;5,9;395,5;0,8;45,9;20,1;33,1
269;BW;Schwäbisch Hall - Hohenlohe;;46;2260,7;291,7;143,9;270,9;129;18,7;3,8;8,2;14,6;33,5;21,2;11;9,3;41,2;37,1;5,7;18,2;22,8;1,1;129;6,3;412;761;12,4;8,6;37,4;38,9;14,9;4,8;5,5;362,9;0,9;50;20,6;28,6
270;BW;Backnang - Schwäbisch Gmünd;Erläuterungen siehe Vorbemerkungen;34;838,7;242,9;119,5;215,4;290;18;3,6;8,2;14,6;33,4;22,3;10,8;9,9;28,9;29,4;0,3;8,7;24,2;0,9;141,2;5,1;424,8;679,7;12,5;7,5;36;38,9;17,5;6,1;6,5;284,1;0,8;52,4;15,8;30,9
271;BW;Aalen - Heidenheim;Erläuterungen siehe Vorbemerkungen;32;1644,8;307,9;151,5;280;187;18;3,6;8,2;14,6;33,4;22,3;10,8;9,9;28,9;29,4;0,3;8,7;24,2;0,9;141,2;5,1;424,8;679,7;12,5;7,5;36;38,9;17,5;6,1;6,5;357,7;0,7;57,4;13,8;28,1
272;BW;Karlsruhe-Stadt;;1;173,5;277,2;134,8;237,9;1598;13,3;2,5;7,9;17,4;34,9;24;9,3;11,6;78,6;74;2,4;0,4;22,3;0,6;84,9;2,4;500,6;581,5;8,8;8,8;24,8;35,2;31,2;7,3;7,9;546,5;0,2;24,3;22,7;52,8
273;BW;Karlsruhe-Land;Erläuterungen siehe Vorbemerkungen;21;718,4;271;133,2;247;377;17;3,3;7,2;14,5;36,4;21,6;10,3;9,2;41,3;34,8;7,6;3,3;27,3;0,8;91,7;5,7;421,2;673,2;10,2;6,7;29,6;45,2;18,5;4,9;5,2;295,1;0,7;43;16,5;39,9
274;BW;Rastatt;;24;879;276,2;133,4;250,8;314;15,9;3,2;7,1;14;35,3;24,5;9,3;10,1;86,2;80,2;5,2;5;11,7;0,8;148;4,3;459,6;697,7;10,4;7,7;36,8;35,7;19,8;5;5,6;380,4;0,8;52,2;14,8;32,3
275;BW;Heidelberg;;12;305,6;293;140,3;255,1;959;12,4;2,3;10,4;20,2;34,5;20,2;8,8;9,4;99,6;96,3;2,8;0,9;15,6;0,5;81;3,9;480,7;491,8;10,9;5,6;25,4;24,8;43,7;6,6;6,6;398,8;0,4;29,6;17,8;52,1
276;BW;Mannheim;;1;145;307,7;151,1;241,2;2123;13,8;2,6;7,8;16,7;35,9;23,2;9,6;11,1;54,3;56,6;-3,8;0,4;27,1;0,5;148,8;3,6;525,6;551,6;9,7;11;33,5;31,7;23,2;11;11;548,7;0,3;34,8;21,8;43,1
277;BW;Odenwald - Tauber;;45;2430,8;286,1;141,5;268,3;118;17,5;3,6;7,9;14,5;33,9;22,7;9,7;10,3;34,1;31,8;1,7;14,7;28;1;104,2;5,3;413,7;706,9;11,7;6,6;36,2;38,6;18,6;5,4;5,9;301;0,7;50,8;13,4;35,1
278;BW;Rhein-Neckar;;34;724,9;261,1;128,4;233,9;360;16,2;3,1;7,2;14,9;36,5;22,1;9,6;9,2;45,5;41,4;4,5;2,9;25,3;0,6;79,6;5,6;449,4;662,5;9,5;8,4;33,2;34,9;23,4;6,2;6,2;293,9;0,6;43;15,7;40,7
279;BW;Bruchsal - Schwetzingen;Erläuterungen siehe Vorbemerkungen;20;506,6;253;124,4;226,3;500;17;3,3;7,2;14,5;36,4;21,6;10,3;9,2;41,3;34,8;7,6;3,3;27,3;0,8;91,7;5,7;421,2;673,2;10,2;6,7;29,6;45,2;18,5;4,9;5,2;262,2;0,6;43,6;21,3;34,6
280;BW;Pforzheim;;29;671,8;308,8;150,1;268,1;460;17,2;3,3;7,4;14,5;35;22,6;10,4;9,4;48,2;45,5;3,7;2,4;27,4;1,4;127,5;3,8;449,4;631,8;10,8;7,8;34,1;37,1;20,3;6,1;6,2;340,7;0,6;52,8;19,2;27,4
281;BW;Calw;;42;1668,2;279,4;136,7;248,9;167;18,3;3,5;8;14,8;33,6;21,8;10,8;9,3;76,3;71,3;6,4;7,6;18;0,9;91,2;4,9;433,4;672;10,8;8,2;39,9;40,6;11,3;4,3;5;292,9;1,1;45;16,5;37,5
282;BW;Freiburg;;20;452,9;282,7;135,6;250,7;624;13,4;2,5;10,1;19,4;34,4;20,1;9,8;9,1;98,3;91,7;7,3;1,8;9,9;0,5;69;6,7;473,6;494,6;10,6;7,2;22,3;34,3;35,6;8,6;8,7;412;0,5;25,4;21,6;52,5
283;BW;Lörrach - Müllheim;;55;1155,1;297,8;144,5;266,4;258;17,6;3,4;7,3;14,7;35,2;21,8;10,3;9,1;48;43,4;5,8;14,7;11,6;0,7;89;6,3;433,4;672,9;10,2;7,3;36,1;38,9;17,7;5,8;5,7;308,9;0,8;47;17;35,2
284;BW;Emmendingen - Lahr;;41;1194,5;270,8;132,3;253,4;227;17,7;3,5;7,5;14,5;35,5;21,3;10,2;8,6;41,8;34,4;9,1;18,1;8,8;0,9;87,9;7,7;425,1;685,6;11,1;8,7;37,7;37,8;15,8;5,2;5,5;304,9;0,9;51,6;16,9;30,6
285;BW;Offenburg;;29;1104,6;264,1;128,9;244,3;239;17,9;3,5;7,6;14,6;34;22,4;10,2;9,5;28,2;24,1;4,8;14,8;10,2;1,1;123,5;5,2;427,1;694,6;12,1;7,8;36,5;37,3;18,3;4,9;5,4;384,9;0,8;42;24,4;32,8
286;BW;Rottweil - Tuttlingen;;57;1503,8;272,9;134,2;246,5;181;18,5;3,6;7,9;14,4;33,2;22,5;10,9;9,5;35,9;32,5;4,9;8,8;24,1;1,6;160;5;425,5;697,4;11,5;7,8;38;37,4;16,8;4,6;4,9;356,3;0,4;60,9;15,2;23,4
287;BW;Schwarzwald-Baar;;25;1266,8;230,8;112,5;204,9;182;17,1;3,5;7,7;13,8;33,8;24,1;9,9;10,3;36,6;34,2;2,1;8;24,1;1,3;135,8;7,2;454,3;676,5;12,3;7,5;33;41,1;18,5;4,7;5,4;375,3;0,5;50;16,3;33,2
288;BW;Konstanz;;25;817,8;264,5;128,3;232,9;323;15,6;3;7,9;15,7;35;22,8;9,2;10,1;48,7;42,7;5,1;5,5;24,5;0,6;91,9;5,8;464,9;629;9,9;7,5;33,9;37,6;21;7;7,1;315,5;1,1;39,6;19;40,3
289;BW;Waldshut;;50;1861,4;241,8;117,8;218,8;130;18,2;3,7;7,5;14,5;33,8;22,4;10,1;8,8;34,4;33,5;2,1;13,6;18,4;0,7;84,3;6,1;440;697,7;12,5;7,6;41,8;35,9;14,7;6,2;6;272,8;1;45,3;17,4;36,3
290;BW;Reutlingen;;27;1094,2;276,7;135,1;240,2;253;17,3;3,3;7,8;15,3;34,3;21,9;10,7;8,9;46,2;42,6;5,3;6,7;23,5;1;122,1;5,2;427,7;685,5;10,6;8,2;34,1;35,1;21,9;4,8;4,8;351,5;0,9;48,4;18,9;31,8
291;BW;Tübingen;;21;788,9;257,3;126,9;225,2;326;17,4;3,3;8,6;17,1;35,9;17,6;11,1;7,1;58;55,4;6,6;4;24,3;0,7;77,1;6;428,2;611,4;11,6;6,3;28,4;35,7;29,7;5,3;5,4;299,4;0,6;37,4;16,1;45,9
292;BW;Ulm;;56;1476;300,9;148,6;262,6;204;17,6;3,5;8,4;15,6;33,9;21;11,1;8,8;56,1;52,1;6,3;10,6;25,7;0,9;129,5;5,7;424,8;667,9;11,9;8;33,3;36,8;21,9;5,2;5,8;404,8;0,5;40,3;21,9;37,3
293;BW;Biberach;;59;2423,4;311,9;153,8;290,6;129;19,1;3,7;8;15,3;33,4;20,6;11,5;8,8;35,5;32,5;5,6;15,3;24,7;0,8;117,1;6,3;411,9;712,5;12,7;6,4;35,7;40,8;17,1;4,4;4,7;319,4;1;51,7;17,1;30,2
294;BW;Ravensburg - Bodensee;;37;1152,5;323,2;158;291,1;280;17,2;3,5;7,6;14,5;35,1;22,1;10;9;58,5;51,3;8,3;11,9;15;0,7;135,3;6,3;462;705,1;12,1;7;26,2;43,9;22,9;5,7;5,9;359,9;0,8;45,2;16,1;37,8
295;BW;Zollernalb - Sigmaringen;;55;1982,8;287;142,1;261,4;145;18,2;3,6;7,8;14,7;33,5;22,1;10,3;9,2;35,1;33,6;2,6;11;25,5;1,3;126,1;5,8;416,6;722;12;6,9;36,2;40,5;16,4;6,2;6,2;319,1;1;53,3;16,5;29,2
;BW;Land insgesamt;;1111;35751,4;10475,9;5132,4;9170,8;293;16,8;3,3;7,8;15,4;34,8;21,9;10,3;9,3;49,2;45,5;4,8;7,2;19,4;0,9;119;5,4;444,5;664,8;10,8;7,8;33;37,9;21,1;5,6;5,8;368,7;0,7;44,2;18,2;37
296;SL;Saarbrücken;;6;325,3;285,8;136,7;251,1;879;14,1;2,8;7,2;14,3;36,3;25,3;8,5;12,5;34;34,4;-4,4;0,6;26,8;0,5;100,2;3;495,9;630,6;9,9;11,8;27,8;34,5;24,6;13,1;12,6;468,5;0,2;28,8;19,9;51
297;SL;Saarlouis;;18;891,3;279,3;135,4;258,8;313;15,7;3,3;7,3;13,4;35,8;24,4;8,3;11,6;32,5;30;-0,8;3;36,8;0,5;110,1;5,7;425,9;679,7;11;10,4;29,2;38,6;20,9;9,3;8,4;306;0,6;48,8;20,8;29,8
298;SL;Sankt Wendel;;16;801,5;236,8;116,4;224,2;295;15,5;3,2;7,1;13,2;35,7;25,3;8,1;12,1;27,9;27,8;-3,9;2,4;40,8;0,4;59,5;3,7;446,3;674,6;9,7;11,9;33,5;34,3;19,5;8,2;8,5;188,6;0,5;37;21,2;41,3
299;SL;Homburg;;12;552;269,7;130,8;249;488;15;3,2;7,2;13,4;35,7;25,5;8,5;11,1;37,5;34,8;0,1;2,1;39,1;0,7;136,8;3,9;452,3;685,8;10,2;10;26,2;35,2;28;8,1;8;356,3;0,4;47,5;18;34,1
;SL;Land insgesamt;;52;2570,1;1071,5;519,3;983,2;417;15;3,1;7,2;13,7;35,9;25,1;8,3;11,9;32,7;31,7;-2,5;1,9;37,2;0,5;99,3;4,1;457,4;663,3;10,2;11,1;29,2;35,9;22,8;10,1;9,7;336,1;0,4;39,5;19,8;40,3
;Deutschland;Insgesamt;;13416;357020,2;82163,5;40090,8;74822,2;230;15,7;3,3;7,8;14,8;35,4;23;9,4;10,3;43,8;41,3;1,5;5,7;36,3;0,6;78;5,8;462,3;625,2;11,1;9,1;25,9;40,4;23,7;10,3;10,6;340,5;1,1;35,3;20,8;42,8
